title,creator,agerecommendation,active,favorites,visits,created,updated,serversize,likes,dislikes,gamelink,datefetched,like_ratio,player_to_visit_ratio,genre_action,genre_adventure,genre_education,genre_entertainment,genre_obby_&_platformer,genre_party_&_casual,genre_puzzle,genre_rpg,genre_roleplay_&_avatar_sim,genre_shooter,genre_shopping,genre_simulation,genre_social,genre_sports_&_racing,genre_strategy,genre_survival,camera_not_supported,camera_supported,vc_not_supported,vc_supported
Phantom Forces,StyLiS Studios,Ages 9+,2944,5865429,1600000000.0,8/31/2015,11/5/2024,32,2000000.0,212000.0,https://www.roblox.com/games/292439477/Phantom-Forces?gameSearchSessionInfo=ad55156d-c7a8-4d32-85b0-9a11b9327dea&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=292439477&amp;position=0&amp;universeId=113491250,11/5/2024 20:27,0.9041591320072333,1.84e-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
⚡Race Clicker,48h Games,All Ages,3377,1196261,799300000.0,4/5/2022,11/5/2024,25,1000000.0,55000.0,https://www.roblox.com/games/9285238704/Race-Clicker?gameSearchSessionInfo=e16e9008-3885-4678-9043-3f4d26f7e7b8&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=9285238704&amp;position=0&amp;universeId=3476371299,11/5/2024 20:27,0.9478672985781991,4.224946828474915e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
SCP Games and SCP Monsters,@lolbuih,Ages 9+,3411,575856,623000000.0,8/14/2021,11/2/2024,20,91000.0,23000.0,https://www.roblox.com/games/7253149844/SCP-Games-and-SCP-Monsters?gameSearchSessionInfo=5907244c-1181-4207-8b25-2877cdd6219d&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7253149844&amp;position=0&amp;universeId=2827951974,11/5/2024 20:27,0.7982456140350878,5.475120385232744e-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Mega Mansion Tycoon 🌴,Wild Atelier,All Ages,3730,1566870,1000000000.0,12/24/2021,11/5/2024,6,765000.0,41000.0,https://www.roblox.com/games/8328351891/Mega-Mansion-Tycoon?gameSearchSessionInfo=6cc86f5e-38c0-4807-8f5f-7f3fb48ea183&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8328351891&amp;position=0&amp;universeId=3191268194,11/5/2024 20:28,0.9491315136476427,3.73e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
[WARSHIP!] Military Tycoon ®,InfinityInteractive,Ages 9+,3978,1733718,761200000.0,7/31/2021,11/4/2024,12,1000000.0,100000.0,https://www.roblox.com/games/7180042682/WARSHIP-Military-Tycoon?gameSearchSessionInfo=fb14c61e-483d-4526-ae0e-2ad8ab077e0d&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7180042682&amp;position=0&amp;universeId=2788648141,11/5/2024 20:28,0.9090909090909091,5.22595901208618e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
[💀Decay +🎃Halloween🦇] Heroes World,Heroes World,All Ages,300,757938,221800000.0,4/23/2020,11/4/2024,14,515000.0,26000.0,https://www.roblox.com/games/4934471106/Decay-Halloween-Heroes-World?gameSearchSessionInfo=1b468af6-5a16-4bb1-8e22-8edd601bafad&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4934471106&amp;position=0&amp;universeId=1691616425,11/5/2024 20:28,0.9519408502772643,1.3525698827772768e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
[STAGE THREE!] 💪 Ninja Challenge [Beta],Ninja Challenge,All Ages,2343,29528,23000000.0,8/5/2024,11/4/2024,5,27000.0,3911.0,https://www.roblox.com/games/18803315158/STAGE-THREE-Ninja-Challenge-Beta?gameSearchSessionInfo=ce810001-4d99-4f14-965c-896b809d20e3&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18803315158&amp;position=0&amp;universeId=6371309794,11/5/2024 20:28,0.8734754618097118,0.0001018695652173913,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
[ITADORI + NATSU]🔥 Anime Unlimited,AU:R,Ages 13+,40,219774,54600000.0,6/7/2022,11/5/2024,12,140000.0,29000.0,https://www.roblox.com/games/9845465117/ITADORI-NATSU-Anime-Unlimited?gameSearchSessionInfo=11964f76-3f4f-4172-b546-16321fe8c458&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=9845465117&amp;position=0&amp;universeId=3639793122,11/5/2024 20:28,0.8284023668639053,7.326007326007326e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
[UPDATE 4] Meme Sea,Meme Sea Group,Ages 9+,17066,297447,418900000.0,7/18/2022,10/17/2024,12,298000.0,22000.0,https://www.roblox.com/games/10260193230/UPDATE-4-Meme-Sea?gameSearchSessionInfo=6dc1b086-a846-4018-88a3-9894bf479072&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10260193230&amp;position=0&amp;universeId=3756501373,11/5/2024 20:28,0.93125,4.0740033420864166e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Human Giraffe,@Rdite,All Ages,25,446373,71300000.0,1/4/2019,12/23/2022,30,118000.0,32000.0,https://www.roblox.com/games/2711482466/Human-Giraffe?gameSearchSessionInfo=22f54229-0a4a-45c3-867b-bfe783082d83&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=2711482466&amp;position=0&amp;universeId=979894568,11/5/2024 20:28,0.7866666666666666,3.506311360448808e-07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
[UPGRADE] BARRY'S PRISON RUN! (OBBY),@PlatinumFalls,All Ages,13093,1197361,2800000000.0,2/3/2022,11/1/2024,12,279000.0,199000.0,https://www.roblox.com/games/8712817601/UPGRADE-BARRYS-PRISON-RUN-OBBY?gameSearchSessionInfo=f4a803b3-b287-421b-8375-76d48b230fea&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8712817601&amp;position=0&amp;universeId=3310460039,11/5/2024 20:28,0.5836820083682008,4.676071428571429e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
🎃 Tower Defense Simulator 🎃,Paradoxum Games,All Ages,21000,3093968,3600000000.0,6/5/2019,11/5/2024,30,1000000.0,104000.0,https://www.roblox.com/games/3260590327/Tower-Defense-Simulator?gameSearchSessionInfo=7da7dc85-abea-4910-b6f2-817ff2be6328&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3260590327&amp;position=0&amp;universeId=1176784616,11/5/2024 20:29,0.9057971014492754,5.833333333333333e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
a dusty trip [📜QUEST],Jandel's Road Trip,All Ages,10949,1234572,1100000000.0,2/16/2024,11/3/2024,25,1000000.0,139000.0,https://www.roblox.com/games/16389395869/a-dusty-trip-QUEST?gameSearchSessionInfo=bfc04a14-5740-4317-bbc1-721b395ff822&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16389395869&amp;position=0&amp;universeId=5650396773,11/5/2024 20:29,0.8779631255487269,9.953636363636363e-06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Color Run,Mega Fun game,All Ages,106,151620,171700000.0,4/6/2021,10/15/2023,12,36000.0,59000.0,https://www.roblox.com/games/6644653750/Color-Run?gameSearchSessionInfo=0414d4fd-9b27-4c24-b870-fbbd0494d92c&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6644653750&amp;position=0&amp;universeId=2496696953,11/5/2024 20:29,0.37894736842105264,6.173558532323821e-07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
